applicants_organisations_only, applicants_useme, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_codes, priority_country_name, priority_date, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, simple_family_size, title, title_phrases, url
"UNIV ZHEJIANG","UNIV ZHEJIANG","5","","","2","CHENGUANG ZHOU; HUANG XIN; YIYU CHENG","C12Q1/18; G01N15/10; G01N21/64","Biochemistry; Measuring","C12Q: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Measuring Or Testing Processes Involving Enzymes Or Micro-Organisms; Compositions Or Test Papers Therefor; Processes Of Preparing Such Compositions; Condition-Responsive Control In Microbiological Or Enzymological Processes; G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","CN","China","20071106","CN 200710156505 A","2007","CN","China","2008-3-26","CN 101149327 A","2008","2","Antineoplastic Drug Evaluation And Screening Method Based On Cell Microscopic Image Information","antineoplastic Drug Evaluation; Cell Microscopic Image Information; Screening Method","https://lens.org/163-552-771-048-245"
"UNIV SHANGHAI FISHERIES","UNIV SHANGHAI FISHERIES","2","","","1","CHUNHUA XU; WENJUN WANG","A61K35/64; A61K35/644; A61K36/481; A61K9/19; A61K9/48; A61P1/14; A61P39/06","Medical","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations","","CN","China","20060927","CN 200610116537 A","2006","CN","China","2008-4-2","CN 101152239 A","2008","1","Technique Of Preparing Drone Pupa Freeze-dried Powder Medicinal Granules And Capsule","Capsule; Drone Pupa Freeze-dried Powder Medicinal Granules; technique","https://lens.org/190-063-682-306-283"
"UNIV BEIJING","UNIV BEIJING","0","","","2","DALONG MA; HUI FAN; JING WANG; LU WANG; YANG CUI","A61K38/17; A61K39/395; A61P35/00","Medical","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations","","CN","China","20061010","CN 200610113621 A","2006","CN","China","2008-4-16","CN 101161283 A","2008","2","New Use Of Cmtm1-v17 And Its Antagon","Antagon; Cmtm1-v17; new Use","https://lens.org/139-485-851-113-222"
"INST OF ROCK & SOIL MECH CAS","INST OF ROCK & SOIL MECH CAS","6","","","2","WEI REN; XIAOCHUN LI; XUEFEI DU","G01B11/00; G01B11/03; G01C11/00; G01C11/02; G01C11/04","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","20071207","CN 200710168657 A","2007","CN","China","2008-6-18","CN 101201248 A","2008","2","Avigation Close Range Photography Displacement Measurement System Based On Unmanned Aerial Vehicle As Well As Measurement Method Thereof","avigation Close Range Photography Displacement Measurement System; Measurement Method; Unmanned Aerial Vehicle","https://lens.org/127-920-429-213-824"
"UNIV BEI HANG","UNIV BEI HANG","10","","","2","GUANGJUN ZHANG; JUNHUA SUN; YANG ZHEN; ZHENZHONG WEI; ZIYAN WU","G01B11/00; G01C11/02; G06T7/00","Computing; Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","CN","China","20080328","CN 200810102978 A","2008","CN","China","2008-9-10","CN 101261738 A","2008","2","A Camera Marking Method Based On Double 1-dimension Drone","Camera Marking Method; Double 1-dimension Drone","https://lens.org/086-310-970-472-898"
"CHANGCHUN AOPU OPTO ELECTRONIC","CHANGCHUN AOPU OPTO ELECTRONIC","3","","","1","JIANZHONG SONG; JINGHONG LIU; MING DAI","G01C25/00","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","20070428","CN 200710055586 A","2007","CN","China","2008-10-29","CN 101294823 A","2008","1","Method For Multi-load Photoelectric Tracking Equipment Self-adjusting Two Light Axes To Be Parallel","method; Multi-load Photoelectric Tracking Equipment Self-adjusting Two Light Axes; Parallel","https://lens.org/031-501-863-774-352"
"SHANGHAI INST BIOL SCIENCES","SHANGHAI INST BIOL SCIENCES","1","","","1","HAIBO WANG; JIANGUO GENG; JINTAO WANG; LEI ZHANG; MING CHEN; TAO XU; WEILI XU","G01N33/15; G01N33/53; G01N33/68","Measuring","G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","CN","China","20070529","CN 200710041403 A","2007","CN","China","2008-12-3","CN 101315385 A","2008","1","Drone For Inflammation And Thrombus Medicament, And Medicament Aiming At The Same","Drone; Inflammation; Medicament; Same; Thrombus Medicament","https://lens.org/062-849-650-651-983"
"UNIV CHONGQING JIAOTONG","UNIV CHONGQING JIAOTONG","6","","","2","JIANTING ZHOU; ZHANGLI LAN; ZIXUE DU","G01B11/02; G01B11/16; G01C15/00","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","20080801","CN 200810070076 A","2008","CN","China","2009-1-7","CN 101339003 A","2009","2","Great Structure Horizontal Two-dimensional Displacement Automatic Measuring Equipment And Method","Equipment; great Structure Horizontal Two-dimensional Displacement Automatic; method","https://lens.org/059-844-476-210-427"
"","HUILIAN TANG","0","","","1","HUILIAN TANG; HUIXIN TANG; LI YANG; SHUO TANG; YUEHUA CHEN; ZHENDONG LEI","A01M7/00","Agriculture","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","CN","China","20080818","CN 200810032107 A","2008","CN","China","2009-1-7","CN 101336628 A","2009","1","Rack Type Sprayer For Power-driven Walking","Power-driven Walking; rack Type Sprayer","https://lens.org/117-321-544-390-546"
"","HUILIAN TANG","0","","","1","HUILIAN TANG; JIANQUN LIAO; YUEHUA CHEN; ZHENDONG LEI","A01M7/00","Agriculture","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","CN","China","20080814","CN 200810032074 A","2008","CN","China","2009-1-7","CN 101336627 A","2009","1","Bracket Sprayer For Manpower Traction","bracket Sprayer; Manpower Traction","https://lens.org/108-366-726-408-041"
"CHINESE PEOPLE S ARMED POLICES","CHINESE PEOPLE S ARMED POLICES","1","","","2","BO ZHANG; DESHOU TIAN; HUAISHI GAO; TONGHAI GAO; XUDONG LI","F41J7/06","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20080501","CN 200810015941 A","2008","CN","China","2009-1-21","CN 101349529 A","2009","2","Automatic Target Control Device","automatic Target Control Device","https://lens.org/188-554-448-628-780"
"UNIV TIANJIN","UNIV TIANJIN","2","","","2","BAOZHEN GE; CHEN XIANG; QIENI LU; QINGGUO TIAN; XIAOJIE LI; YAOLIN WEI","G01B11/00","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","","CN","China","20080827","CN 200810054313 A","2008","CN","China","2009-2-11","CN 101363712 A","2009","2","Dynamic Precision Target Drone For Demarcating Three-dimensional Colourful Digital System","dynamic Precision Target Drone; Three-dimensional Colourful Digital System","https://lens.org/189-328-181-817-494"
"BEIJING ACAD AGRIC & FORESTRY","BEIJING ACAD AGRIC & FORESTRY","9","","","2","CHANGQING ZHOU; CHEN LUO; FAN ZHANG; JUNMING ZHANG","A01K67/033; A01M99/00","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals; A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","CN","China","20081028","CN 200810224944 A","2008","CN","China","2009-3-25","CN 101390505 A","2009","2","Encarsia Sophia Artificial Propagation Production Method","encarsia Sophia Artificial Propagation Production Method","https://lens.org/061-553-821-098-539"
"UNIV BEIJING BUAA","UNIV BEIJING BUAA","8","","","2","FUQIANG ZHOU","G01B11/00; G06T7/00","Computing; Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","CN","China","20081208","CN 200810239083 A","2008","CN","China","2009-4-29","CN 101419708 A","2009","2","Structure Optical Parameter Demarcating Method Based On One-dimensional Target Drone","method; One-dimensional Target Drone; structure Optical Parameter","https://lens.org/110-704-089-450-247"
"CHINA ACADEMY OF AEROSPACE AER","CHINA ACADEMY OF AEROSPACE AER","2","","","2","GANG LI; NAIEN ZHOU","G01C21/20","Measuring","G01C: Physics -> Measuring; Testing -> Measuring Distances, Levels Or Bearings; Surveying; Navigation; Gyroscopic Instruments; Photogrammetry Or Videogrammetry","","CN","China","20081128","CN 200810227578 A","2008","CN","China","2009-4-22","CN 101413801 A","2009","2","Unmanned Machine Real Time Target Information Solving Machine And Solving Method Thereof","Solving Method; unmanned Machine Real Time Target Information Solving Machine","https://lens.org/044-642-994-286-261"
"GUANGZHOU HUAFENG BIOLOG TECHN","GUANGZHOU HUAFENG BIOLOG TECHN","0","","","1","HUIMEI TAN; LI LING; LI ZHIYONG; XUN CHEN; YICHENG CAO; ZHENGPING DU","C12Q1/04; C12Q1/68","Biochemistry","C12Q: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Measuring Or Testing Processes Involving Enzymes Or Micro-Organisms; Compositions Or Test Papers Therefor; Processes Of Preparing Such Compositions; Condition-Responsive Control In Microbiological Or Enzymological Processes","","CN","China","20080926","CN 200810198802 A","2008","CN","China","2009-4-29","CN 101418342 A","2009","1","Rapid Diagnosis Kit Of Enterocolitis Yersinia Genus Gene Based On Loop-mediated Isothermal Amplification Technique","Enterocolitis Yersinia Genus Gene; Loop-mediated Isothermal Amplification Technique; rapid Diagnosis Kit","https://lens.org/137-478-151-552-71X"
"UNIV BEI HANG","UNIV BEI HANG","1","","","2","FEIHUA CAI; FUQIANG ZHOU; GUANGJUN ZHANG; JUNCHAO CHENG","G01B11/00; G06T7/00","Computing; Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","CN","China","20081208","CN 200810239082 A","2008","CN","China","2009-5-6","CN 101425185 A","2009","2","Method For Demarcating Small-scale Vision Measuring Video Camera Based On Composite Planar Target Drone","Composite Planar Target Drone; method; Small-scale Vision; Video Camera","https://lens.org/158-335-914-158-029"
"UNIV BEIJING BUAA","UNIV BEIJING BUAA","5","","","2","FUQIANG ZHOU; GUANGJUN ZHANG; WEI ZHANG","G06T7/00","Computing","G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","CN","China","20081208","CN 200810239085 A","2008","CN","China","2009-4-29","CN 101419709 A","2009","2","Plane Target Drone Characteristic Point Automatic Matching Method For Demarcating Video Camera","plane Target Drone Characteristic Point Automatic Matching Method; Video Camera","https://lens.org/198-539-266-596-623"
"QI YUFEN","QI YUFEN","1","","","1","ZUOGUANG ZHANG","A61K31/704","Medical","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes","","CN","China","20071130","CN 200710194686 A","2007","CN","China","2009-6-10","CN 101450062 A","2009","1","Medicine Composition For Treating Melancholia Using Multi-target Receptor After-action Mechanism","medicine Composition; Melancholia; Multi-target Receptor After-action Mechanism","https://lens.org/140-507-234-599-183"
"UNIV SHANGHAI JIAOTONG","UNIV SHANGHAI JIAOTONG","0","","","1","DAWEI LI; GUANGWEI GAO","C12Q1/25","Biochemistry","C12Q: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Measuring Or Testing Processes Involving Enzymes Or Micro-Organisms; Compositions Or Test Papers Therefor; Processes Of Preparing Such Compositions; Condition-Responsive Control In Microbiological Or Enzymological Processes","","CN","China","20090226","CN 200910046686 A","2009","CN","China","2009-8-5","CN 101497917 A","2009","1","Method For Detecting Activity Of Trypanosoma Brucei Leucyl Trna Synthetase","Activity; method; Trypanosoma Brucei Leucyl Trna Synthetase","https://lens.org/195-554-187-430-808"
"SHENZHEN SHENGJIE BIOLOGY TECH","SHENZHEN SHENGJIE BIOLOGY TECH","0","Y02P20/55","","2","HANBING ZHONG; SHUO LIN; YANG ZHEN","A61K31/403; A61K31/4745; A61P43/00; C07D209/66; C07D471/04","Medical; Organic Chemistry","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes; A61P: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Specific Therapeutic Activity Of Chemical Compounds Or Medicinal Preparations; C07D: Chemistry; Metallurgy -> Organic Chemistry -> Heterocyclic Compounds","","CN","China","20090401","CN 200910106478 A","2009","CN","China","2009-9-2","CN 101519372 A","2009","2","Benzo [e] Isoindazole-1,3 Diketone Compound Used As Gsk Inhibiting Agent And Preparation Method Thereof","benzo [e] Isoindazole-1,3 Diketone Compound; Gsk Inhibiting Agent; Preparation Method","https://lens.org/066-326-740-050-658"
"UNIV SUN YAT SEN","UNIV SUN YAT SEN","0","","","2","DAN XIE; HAIXIA DENG; HONGMEI WU; JINLONG WANG; WEI ZHU; XIANGFU KONG; XIAO ZHU; YIJI LIAO; ZHUTING TONG","C12Q1/68; G01N21/64","Biochemistry; Measuring","C12Q: Chemistry; Metallurgy -> Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering -> Measuring Or Testing Processes Involving Enzymes Or Micro-Organisms; Compositions Or Test Papers Therefor; Processes Of Preparing Such Compositions; Condition-Responsive Control In Microbiological Or Enzymological Processes; G01N: Physics -> Measuring; Testing -> Investigating Or Analysing Materials By Determining Their Chemical Or Physical Properties","","CN","China","20090531","CN 200910039867 A","2009","CN","China","2009-11-11","CN 101575641 A","2009","2","Method For Detecting Fluorescence Quantitative Pcr Genotypes Of Predisposing Genes Of Hepatic Cell Carcinoma And Kit Thereof","Fluorescence Quantitative Pcr Genotypes; Genes; Hepatic Cell Carcinoma; Kit; method","https://lens.org/168-230-615-532-254"
"UNIV BEIJING BUAA","UNIV BEIJING BUAA","2","","","2","GUANGJUN ZHANG; JUNHUA SUN; LIJUN CAO; ZHENZHONG WEI","G01B11/00; G01B11/25","Measuring","G01B: Physics -> Measuring; Testing -> Measuring Length, Thickness Or Similar Linear Dimensions; Measuring Angles; Measuring Areas; Measuring Irregularities Of Surfaces Or Contours","","CN","China","20090715","CN 200910089307 A","2009","CN","China","2009-11-25","CN 101586943 A","2009","2","Method For Calibrating Structure Light Vision Transducer Based On One-dimensional Target Drone","method; One-dimensional Target Drone; Structure Light Vision Transducer","https://lens.org/195-143-458-938-94X"
"GUIZHOU BOAN TECHNOLOGY CO LTD","GUIZHOU BOAN TECHNOLOGY CO LTD","5","","","1","GUOAN LUO","F41J9/02; F41J9/08","Weapons","F41J: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Targets; Target Ranges; Bullet Catchers","","CN","China","20091125","CN 200910310377 A","2009","CN","China","2010-6-2","CN 101718506 A","2010","1","Intelligent Movable Target Machine System","intelligent Movable Target Machine System","https://lens.org/101-933-666-188-799"
"UNIV SHANGHAI ENG SCIENCE","UNIV SHANGHAI ENG SCIENCE","0","","","1","HONGSEN LI; JINGLI XU; SIHAO CHEN; ZICHENG XU","A01N37/18; A01N43/80; A01P3/00; A01P7/00","Agriculture","A01N: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Preservation Of Bodies Of Humans Or Animals Or Plants Or Parts Thereof; Biocides, E.G. As Disinfectants, As Pesticides Or As Herbicides; Pest Repellants Or Attractants; Plant Growth Regulators; A01P: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Biocidal, Pest Repellant, Pest Attractant Or Plant Growth Regulatory Activity Of Chemical Compounds Or Preparations","","CN","China","20091218","CN 200910201369 A","2009","CN","China","2010-6-16","CN 101731233 A","2010","1","Hymexazol And Capsaicine Compound Seed Finishing Agent And Preparation Thereof","Capsaicine Compound; Finishing Agent; hymexazol; Preparation","https://lens.org/089-907-301-869-100"
